area,target,factor,model,n_train,n_test,n_total,intercept,slope,R2,RMSE,MAE,MAPE
Area1,load_max,最高温度,linear_full,1094,,1094,4118.969688754034,176.6183489298404,0.3413746762878168,1570.6092917558442,1151.758930376919,18.046926891757966
Area1,load_max,最高温度,linear_2014_test,729,365.0,1094,4021.007182793406,173.32683989370702,0.24425486534639462,1801.2556934646348,1481.6592963491014,21.10353971836982
Area1,load_max,最高温度,quadratic_2014_test,729,365.0,1094,,,0.3120738622285041,1718.535832931088,1425.628291675955,20.34318739655203
Area1,load_max,最低温度,linear_full,1096,,1096,4921.8599760893985,194.0422104445287,0.37778301801733316,1525.3157684214552,1109.5923546615895,17.375033742877143
Area1,load_max,最低温度,linear_2014_test,731,365.0,1096,4907.774137905558,184.67868675275818,0.30617608404328245,1725.8868489218344,1446.7525177214757,20.108904962883162
Area1,load_max,最低温度,quadratic_2014_test,731,365.0,1096,,,0.37806756927885043,1634.0272260573045,1405.5905748804128,19.511058368721997
Area1,load_max,平均温度,linear_full,1095,,1095,4367.995370400345,194.44992069951203,0.3782201880580661,1523.9848701421593,1103.0066678647313,17.343402918093105
Area1,load_max,平均温度,linear_2014_test,731,364.0,1095,4319.618277077721,188.25687344804712,0.2939181169386045,1740.2490954908633,1450.6284563821243,20.478718457067647
Area1,load_max,平均温度,quadratic_2014_test,731,364.0,1095,,,0.3652641995543696,1649.9864571648493,1398.6672144699137,19.751495115083195
Area1,load_max,相对湿度,linear_full,1095,,1095,7609.624263472426,15.870633025588704,0.01250114239892175,1920.57224222237,1439.2524134943533,21.871478328810955
Area1,load_max,相对湿度,linear_2014_test,731,364.0,1095,7678.4323991455485,11.97837365333074,-0.07960616282871413,2151.872621661709,1663.4659824837881,22.552640834680833
Area1,load_max,降雨量,linear_full,1094,,1094,8739.13235682224,9.348840912225151,0.005476796012685359,1928.1713321288819,1443.929149565452,21.884375012423583
Area1,load_max,降雨量,linear_2014_test,730,364.0,1094,8503.692211800348,13.538543521435102,-0.10457528801237381,2176.614630005659,1690.409520715898,22.934206666378373
