area,model,label,mean_MAE_MW,mean_RMSE_MW,mean_MAPE_pct,mean_Bias_MW,fold_MAPE_sd
Area1,no_weather,HGB no weather (controlled),428.74377979118793,546.1980316452651,6.998550125836831,-74.26978113850821,4.84094389676031
Area1,mean_temp_quad,HGB + mean T + T²,363.525884874372,475.2962213851561,6.061774815992569,-82.37861294653246,4.5074909694624
Area1,mean_temp_quad_hr,HGB + mean T + T² + RH + rain,343.59636316569566,450.863635201193,5.714620708759397,-83.77018360799626,3.9257844570983864
Area1,all_weather,HGB + all weather,344.51606579822845,465.3726051319546,5.9109450647158805,-50.5583864395761,4.3939600903818
Area2,no_weather,HGB no weather (controlled),535.2697286082602,655.4788545569238,7.616479382689653,1.7819675185619492,4.757817416428739
Area2,mean_temp_quad,HGB + mean T + T²,401.86179499135426,495.2225258292076,6.112692041714287,4.701508615614419,4.812806505467894
Area2,mean_temp_quad_hr,HGB + mean T + T² + RH + rain,399.5472643938884,488.7601402935246,5.975346079653773,-22.35472647606542,4.194654751923451
Area2,all_weather,HGB + all weather,401.1262862864605,491.3755126543043,6.005925084729802,-18.926607320022693,4.301122304942641
