area,model,mean_MAE_MW,mean_RMSE_MW,mean_MAPE_pct,mean_Bias_MW,fold_MAPE_sd
Area1,lag7,573.0369143516484,840.8491372536729,11.069598695695431,-26.505208703296702,12.13892006028849
Area1,avg4,769.8050600934067,961.3192815084223,17.362277478986478,115.98199639560441,27.811774387122107
Area1,weighted4,658.0892591340659,859.9039753236141,14.51947644082346,114.32628188131886,21.063303524769726
Area1,hgb_fixed_lags,412.3657550039486,543.0998586487469,6.829842041598725,-47.888197247146756,5.264963363946238
Area2,lag7,616.2421964998855,809.106063843743,9.04411910675519,46.632251287202365,6.674833438019346
Area2,avg4,837.798034279762,980.6426536947964,13.689279934052136,187.83995444162085,15.361017741400874
Area2,weighted4,724.8958517570512,872.250869510744,11.620803640384274,201.30692052149743,11.522628723125054
Area2,hgb_fixed_lags,531.0014170758775,649.990450217368,7.268372952414236,-1.7721806458622462,3.5255213615131487
